StationCode,longitude,latitude,geometry
201WLK170,-122.81136,38.16445,"c(-122.81136, 38.16445)"
201WLK178,-122.783144,38.163658,"c(-122.783144, 38.163658)"
201WLK230,-122.72472,38.14342,"c(-122.72472, 38.14342)"
201WLK240,-122.70914,38.13589,"c(-122.70914, 38.13589)"
202BUT010,-122.39553,37.25003,"c(-122.39553, 37.25003)"
202BUT480,-122.31411,37.21363,"c(-122.31411, 37.21363)"
202BUT600,-122.30727,37.2159,"c(-122.30727, 37.2159)"
202BUT850,-122.2412,37.22664,"c(-122.2412, 37.22664)"
202DRY010,-122.39124,37.35917,"c(-122.39124, 37.35917)"
202LAH950,-122.28429,37.38878,"c(-122.28429, 37.38878)"
202MIC150,-122.39242,37.45232,"c(-122.39242, 37.45232)"
202PES080,-122.3698,37.252,"c(-122.3698, 37.252)"
202PES168,-122.24082,37.26166,"c(-122.24082, 37.26166)"
202PS0134,-122.42819,37.46526,"c(-122.42819, 37.46526)"
202PS0246,-122.3746,37.46248,"c(-122.3746, 37.46248)"
202SGR110,-122.27425,37.34591,"c(-122.27425, 37.34591)"
202TUN600,-122.36826,37.39083,"c(-122.36826, 37.39083)"
203BAX030,-122.32587,37.91828,"c(-122.32587, 37.91828)"
203BAX050,-122.32097,37.93151,"c(-122.32097, 37.93151)"
203CER020,-122.3039,37.89821,"c(-122.3039, 37.89821)"
203COD020,-122.30692,37.88188,"c(-122.30692, 37.88188)"
203COD080,-122.28475,37.88242,"c(-122.28475, 37.88242)"
203COD120,-122.26879,37.88437,"c(-122.26879, 37.88437)"
203LOB020,-122.48393,37.78827,"c(-122.48393, 37.78827)"
203STW010,-122.2869,37.8679,"c(-122.2869, 37.8679)"
203STW030,-122.26495,37.87051,"c(-122.26495, 37.87051)"
203TEM060,-122.24824,37.84671,"c(-122.24824, 37.84671)"
203TEM090,-122.22686,37.84359,"c(-122.22686, 37.84359)"
204ALA525,-121.76043,37.49664,"c(-121.76043, 37.49664)"
204ALP100,-121.75325,37.70739,"c(-121.75325, 37.70739)"
204ALP110,-121.75417,37.70528,"c(-121.75417, 37.70528)"
204ALP140,-121.69658,37.72175,"c(-121.69658, 37.72175)"
204AMO070,-121.81452,37.67672,"c(-121.81452, 37.67672)"
204AMO100,-121.75031,37.66747,"c(-121.75031, 37.66747)"
