comid,gageid,refgage
8020924,11383500,Non-Ref
12074576,11387990,Non-Ref
12074518,11388000,Non-Ref
2852705,11389000,Non-Ref
24688709,11389500,Non-Ref
2770154,11389747,Non-Ref
2770154,11389750,Non-Ref
2770658,11389775,Non-Ref
2770154,11389800,Non-Ref
1680009,11390000,Non-Ref
2851625,11390500,Non-Ref
8037179,11395030,Non-Ref
8037383,11395150,Non-Ref
8037383,11395200,Non-Ref
8037559,11395500,Non-Ref
8037505,11396000,Non-Ref
8037545,11396090,Non-Ref
8037545,11396200,Non-Ref
8038161,11396290,Non-Ref
8038135,11396310,Non-Ref
24689339,11396329,Non-Ref
24689339,11396329,Ref
948020193,11396330,Non-Ref
948020193,11396330,Ref
8038035,11396395,Non-Ref
2773566,11399500,Non-Ref
2773562,11400200,Non-Ref
2773562,11400500,Non-Ref
2773722,11400600,Non-Ref
2773574,11401110,Non-Ref
2773068,11401112,Non-Ref
948020984,11401500,Non-Ref
8027910,11402000,Non-Ref
2773598,11403050,Non-Ref
2775196,11403200,Non-Ref
2775448,11403450,Non-Ref
2775448,11403530,Non-Ref
2775422,11403700,Non-Ref
2775456,11403800,Non-Ref
2775536,11404100,Non-Ref
2775536,11404100,Ref
2778590,11404240,Non-Ref
2775564,11404300,Non-Ref
2775676,11404330,Non-Ref
2775722,11404360,Non-Ref
2776482,11404500,Non-Ref
2776622,11404900,Non-Ref
24689339,11406810,Non-Ref
24689339,11406810,Ref
2778598,11406818,Non-Ref
2778598,11406819,Non-Ref
2778598,11406820,Non-Ref
7968111,11406848,Non-Ref
7968111,11406848,Ref
7968111,11406849,Non-Ref
7968111,11406849,Ref
7968111,11406850,Non-Ref
7968111,11406850,Ref
1682667,11406880,Non-Ref
1682667,11406890,Non-Ref
1685035,11406900,Non-Ref
1682827,11406910,Non-Ref
1682827,11406910,Ref
7972401,11406920,Non-Ref
7968113,11406930,Non-Ref
7968461,11407000,Non-Ref
7972453,11407150,Non-Ref
8058651,11407815,Non-Ref
8064739,11408000,Non-Ref
8058581,11408550,Non-Ref
8063597,11408870,Non-Ref
8063597,11408880,Non-Ref
8060553,11409350,Non-Ref
8060553,11409400,Non-Ref
8058675,11413000,Non-Ref
8056663,11413250,Non-Ref
8056663,11413300,Non-Ref
8056751,11413326,Non-Ref
8062243,11413510,Non-Ref
8060745,11413520,Non-Ref
8064519,11414100,Non-Ref
8064105,11414154,Non-Ref
8064105,11414155,Non-Ref
8064105,11414170,Non-Ref
15014869,11414190,Non-Ref
15014869,11414190,Ref
15014869,11414194,Non-Ref
15014869,11414194,Ref
15014869,11414195,Non-Ref
15014869,11414195,Ref
15014869,11414196,Non-Ref
15014869,11414196,Ref
8064105,11414200,Non-Ref
8064183,11414205,Non-Ref
8064105,11414210,Non-Ref
8064105,11414250,Non-Ref
8063383,11414700,Non-Ref
8063383,11414700,Ref
8063529,11416000,Non-Ref
8063993,11416100,Non-Ref
8063993,11416100,Ref
8064721,11416200,Non-Ref
8063529,11416500,Non-Ref
8060893,11417500,Non-Ref
8060893,11417500,Ref
8061185,11417970,Non-Ref
8062589,11417980,Non-Ref
8061235,11418500,Non-Ref
7981848,11420770,Non-Ref
7981848,11420770,Ref
7981844,11421000,Non-Ref
15014823,11421710,Non-Ref
15014823,11421710,Ref
15014871,11421725,Non-Ref
15014871,11421725,Ref
15014921,11421750,Non-Ref
15014869,11421760,Non-Ref
15014869,11421760,Ref
15014869,11421770,Non-Ref
15014869,11421770,Ref
15014925,11421780,Non-Ref
15014455,11421790,Non-Ref
15014551,11421900,Non-Ref
15014563,11422000,Non-Ref
15014563,11422500,Non-Ref
15070284,11423800,Non-Ref
948020363,11424000,Non-Ref
15009507,11425310,Non-Ref
15009507,11425310,Ref
948021112,11425415,Non-Ref
14996597,11425416,Non-Ref
14996597,11425416,Ref
15039097,11425500,Non-Ref
15039097,11426000,Non-Ref
14991687,11426190,Non-Ref
14996611,11427000,Non-Ref
14993703,11427200,Non-Ref
14993579,11427500,Non-Ref
14992381,11427750,Non-Ref
14992983,11427760,Non-Ref
14993187,11427765,Non-Ref
14992983,11427770,Non-Ref
14997049,11427940,Non-Ref
14997045,11427960,Non-Ref
14993077,11428300,Non-Ref
14992983,11428600,Non-Ref
14992773,11428800,Non-Ref
14983552,11429300,Non-Ref
14993719,11429340,Non-Ref
14993719,11429340,Ref
14997301,11430000,Non-Ref
14997611,11431800,Non-Ref
14997523,11433040,Non-Ref
948021101,11433060,Non-Ref
14993625,11433080,Non-Ref
14992999,11433100,Non-Ref
14993699,11433212,Non-Ref
8943685,11434500,Non-Ref
8943685,11434500,Ref
14982014,11435100,Non-Ref
14983016,11436000,Non-Ref
14982798,11436999,Non-Ref
14982798,11437000,Non-Ref
14982844,11437500,Non-Ref
14982590,11439000,Non-Ref
14982336,11439300,Non-Ref
14982602,11439500,Non-Ref
14982602,11439501,Non-Ref
14986576,11440900,Non-Ref
14986576,11440900,Ref
14981594,11441002,Non-Ref
14981972,11441500,Non-Ref
14981880,11441780,Non-Ref
14983592,11441800,Non-Ref
14982336,11441895,Non-Ref
14981952,11441900,Non-Ref
14982364,11442500,Non-Ref
14982148,11442700,Non-Ref
14982660,11443460,Non-Ref
14982578,11443500,Non-Ref
14982384,11444200,Non-Ref
14982384,11444201,Non-Ref
14982384,11444260,Non-Ref
14982456,11444280,Non-Ref
14982644,11444500,Non-Ref
948021150,11446500,Non-Ref
15022307,11447293,Non-Ref
15022679,11447360,Non-Ref
15048349,11447650,Non-Ref
8009269,11451000,Non-Ref
8006491,11451300,Non-Ref
15030099,11452500,Non-Ref
8015823,11453500,Non-Ref
15033009,11454000,Non-Ref
15040257,11454210,Non-Ref
1668313,11456000,Non-Ref
1669113,11458000,Non-Ref
1669045,11458433,Non-Ref
948050091,11458500,Non-Ref
1669845,11459500,Non-Ref
1671509,11460000,Non-Ref
5329621,11460400,Non-Ref
5329511,11460600,Non-Ref
5329357,11460750,Non-Ref
8269099,11461000,Non-Ref
8269091,11461500,Non-Ref
8269105,11462000,Non-Ref
8269119,11462500,Non-Ref
8271445,11463000,Non-Ref
8271917,11463170,Non-Ref
8272379,11464000,Non-Ref
8272083,11465000,Non-Ref
8272147,11465150,Non-Ref
8272125,11465200,Non-Ref
8273659,11465680,Non-Ref
8273657,11465700,Non-Ref
8273287,11465750,Non-Ref
8273639,11466320,Non-Ref
8273161,11466800,Non-Ref
8272725,11467000,Non-Ref
8280869,11467510,Non-Ref
2544433,11469000,Non-Ref
8309952,11470500,Non-Ref
8267749,11471000,Non-Ref
8267749,11471099,Non-Ref
8267749,11471100,Non-Ref
8267749,11471105,Non-Ref
8267749,11471106,Non-Ref
8307546,11471500,Non-Ref
8303456,11472150,Non-Ref
8303480,11472200,Non-Ref
2706945,11474780,Non-Ref
2706571,11475000,Non-Ref
8319981,11480410,Non-Ref
8319947,11480500,Non-Ref
8316811,11481000,Non-Ref
361671,11516530,Non-Ref
3917252,11517000,Non-Ref
3917058,11517500,Non-Ref
3798909,11519500,Non-Ref
4440518,11520500,Non-Ref
4440524,11521500,Non-Ref
4442602,11523000,Non-Ref
2782721,11525430,Non-Ref
8246438,11525600,Non-Ref
8245864,11525630,Non-Ref
8245886,11525655,Non-Ref
8245896,11525854,Non-Ref
8244482,11526250,Non-Ref
8244344,11526400,Non-Ref
8245172,11527000,Non-Ref
8241662,11530000,Non-Ref
4440630,11530500,Non-Ref
