shrinkage,interaction.depth,n.minobsinnode,bag.fraction,dev_explained
0.001,2,5,0.75,0.424708913036675
0.005,2,5,0.75,0.44529424824387603
0.001,3,5,0.75,0.4350993711868003
0.005,3,5,0.75,0.4574259250427352
0.001,4,5,0.75,0.44338944347334497
0.005,4,5,0.75,0.45891696869399834
0.001,2,10,0.75,0.3505569979218024
0.005,2,10,0.75,0.3753266788168536
0.001,3,10,0.75,0.35206003133383384
0.005,3,10,0.75,0.39734323887980694
0.001,4,10,0.75,0.3521608196539577
0.005,4,10,0.75,0.4101871562442684
0.001,2,5,0.8,0.425798239290411
0.005,2,5,0.8,0.44933072716242894
0.001,3,5,0.8,0.43629265167616055
0.005,3,5,0.8,0.4580655458024552
0.001,4,5,0.8,0.4443700251634511
0.005,4,5,0.8,0.46443154189947106
0.001,2,10,0.8,0.3538631642589014
0.005,2,10,0.8,0.38478648699518997
0.001,3,10,0.8,0.35574822690148994
0.005,3,10,0.8,0.4059689523394885
0.001,4,10,0.8,0.35649640506117686
0.005,4,10,0.8,0.4160827543823496
