0.001,5,3,0.75,0.34897608829128657
0.003,5,3,0.75,0.3515024675459827
0.005,5,3,0.75,0.35015125876686604
0.001,5,5,0.75,0.3401852203670628
0.003,5,5,0.75,0.3442820788635005
0.005,5,5,0.75,0.3469339402561548
0.001,5,10,0.75,0.3353331510681428
0.003,5,10,0.75,0.33812574535119927
0.005,5,10,0.75,0.3382747614001089
0.001,5,3,0.8,0.34801092984243637
0.003,5,3,0.8,0.3493745213945751
0.005,5,3,0.8,0.34906678330599844
0.001,5,5,0.8,0.3395082380531513
0.003,5,5,0.8,0.34020892432045063
0.005,5,5,0.8,0.33707647989171247
0.001,5,10,0.8,0.33371216353160627
0.003,5,10,0.8,0.33714107291996415
0.005,5,10,0.8,0.3346426038157745
