0.001,5,3,0.75,0.4521087149936471
0.003,5,3,0.75,0.4550279946896321
0.005,5,3,0.75,0.45590141353653524
0.001,5,5,0.75,0.4493701336794749
0.003,5,5,0.75,0.4566719440045671
0.005,5,5,0.75,0.45765102992001777
0.001,5,10,0.75,0.44534399363261434
0.003,5,10,0.75,0.4570933668797184
0.005,5,10,0.75,0.45733483065049285
0.001,5,3,0.8,0.45193232399126937
0.003,5,3,0.8,0.4563144648826398
0.005,5,3,0.8,0.4573307746931353
0.001,5,5,0.8,0.4492106360043982
0.003,5,5,0.8,0.4570559406343001
0.005,5,5,0.8,0.45723073081651266
0.001,5,10,0.8,0.44638198362091713
0.003,5,10,0.8,0.45897963462050206
0.005,5,10,0.8,0.4583367722287822
