0.001,3,3,0.75,0.13173829277146548
0.003,3,3,0.75,0.13318174904742297
0.001,5,3,0.75,0.11579697742173806
0.003,5,3,0.75,0.11386065865828085
0.001,3,5,0.75,0.11940777252741033
0.003,3,5,0.75,0.12343125694194008
0.001,5,5,0.75,0.09271548665068545
0.003,5,5,0.75,0.09531546270555706
0.001,3,3,0.8,0.1428949231384245
0.003,3,3,0.8,0.13901252801348635
0.001,5,3,0.8,0.12133749133998994
0.003,5,3,0.8,0.1257218137445583
0.001,3,5,0.8,0.11199716618365811
0.003,3,5,0.8,0.11433287207962929
0.001,5,5,0.8,0.08412816805794686
0.003,5,5,0.8,0.08520081203069052
