"objectid","stationcode","pgroup1","pgroup2","pgroup3","pgroup4","pgroup5","pgroup6","pgroup7","pgroup8","pgroup9","pgroup10","pgroup11","lastupdatedate","processed_by","record_origin","origin_lastupdatedate","record_publish","globalid","created_user","created_date","last_edited_user","last_edited_date","login_email","login_agency","login_owner","login_year","login_project"
2,"207SUI260",0.0088,0.0065,0.1529,0.2522,8e-04,0.0037,0.0015,0.0818,0.0318,0.4501,0.0099,"","human","SMC","2018-09-05 00:00:00","false","{347C0036-C4C9-45ED-92D4-F692F371BD29}",NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"902M20173",0,0,0,0.0014,0,1e-04,0,0.6477,0.0157,0.3297,0.0054,"2018-01-11 14:30:43.687","human","SMC","2018-09-05 00:00:00","true","{6E85139D-EB71-464A-AE3D-B16B6B66B99E}",NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"405SGB003",0.0025,0.0047,0.0113,0.0618,9e-04,0.001,3e-04,0.0222,0.0234,0.2127,0.6592,"","human","SMC","2018-09-05 00:00:00","true","{5703816E-DC6A-4D17-B3AF-BF9F525CDAAC}",NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"105PS0097",0.0317,0.0158,0.024,0.7804,0.1329,6e-04,7e-04,0.0012,3e-04,0.0124,0,"","human","SMC","2018-09-05 00:00:00","false","{E479186D-5D54-4B17-8B8D-655CC3B06370}",NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"637SED053",0.0354,0.32,4e-04,0.0597,0.2753,0.1938,0.0318,0.0213,0.0201,0.0322,0.01,"","human","SMC","2018-09-05 00:00:00","false","{D95D16E4-ECBD-4446-A6C9-9FB36B158AF9}",NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"535FCA061",2e-04,0.0322,0.0112,0.3019,0.0202,0.0028,3e-04,0.1386,0.0191,0.4508,0.0227,"","machine","SWAMP","","false","{B55DCF04-8B96-448D-9D87-2B633D15A277}",NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"801XXX118",1e-04,0.0017,0,0.0047,0,0,0,0.6504,0.0232,0.258,0.0619,"2017-04-04 15:53:38.2","human","SMC","2018-09-05 00:00:00","true","{4FEF4417-DB89-4684-83E0-88A3C5D771C1}",NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"801M16873",0,8e-04,0.0075,0.0051,0,0.0092,0,0.3033,0.0296,0.5612,0.0833,"","human","SMC","2018-09-05 00:00:00","true","{67384C55-D6EE-4DE7-BE6C-2C761A77AEB4}",NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"106PS0115",0.0623,0.6878,0.0015,0.0021,0.0168,0.2049,0.0171,0.0057,7e-04,1e-04,0.001,"","human","SMC","2018-09-05 00:00:00","false","{1C9B2ED9-7AF4-4501-8A5C-FABB29B18ED6}",NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"403S14156",0,2e-04,0,0.0639,0.006,0,0,0.2933,0.0371,0.5514,0.0481,"","human","SMC","2018-09-05 00:00:00","true","{F23F0AB0-6AD4-4D5A-A901-174456A96C2E}",NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"801RB8601",0,0.0011,0,0.0034,0,0.003,0,0.1304,0.0171,0.8046,0.0404,"2017-04-04 15:53:38.183","human","SMC","2018-09-05 00:00:00","true","{4D18955A-4F99-454B-96A7-39A4587E60FE}",NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"911M24916",1e-04,0.0026,0.0094,0.0106,0,0.0013,0,0.3931,0.158,0.3689,0.056,"","human","SMC","2018-09-05 00:00:00","true","{9EEF3B27-31AF-443F-8616-083671DF4BAD}",NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"802S11394",0,9e-04,0,0.002,0,6e-04,0,0.7105,0.0643,0.1298,0.0919,"2017-04-04 15:53:38.217","human","SMC","2018-09-05 00:00:00","true","{2168041D-F9CD-4AE3-874F-AC0985999F3C}",NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"526PS0808",0.0344,0.1741,0.0025,0.2608,0.0746,0.0578,0.0039,0.2737,0.0374,0.0782,0.0026,"","machine","SWAMP","","false","{44FD3BDF-C846-4774-A988-CC6443631E6B}",NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"801WE1032",0,9e-04,0.0075,0.0051,0,0.0081,0,0.3113,0.0544,0.5367,0.076,"","human","SMC","2018-09-05 00:00:00","true","{2EE519BE-9527-4859-A4AC-2598CA68F432}",NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"540CE0590",0.0141,0.0413,0.0739,0.2539,0.0384,0.0995,0.0639,0.1307,0.0082,0.2487,0.0274,"","human","SMC","2018-09-05 00:00:00","false","{B32DA4F3-1BFD-4057-9A56-A13047083F6D}",NA,NA,NA,NA,NA,NA,NA,NA,NA
21,"114CE0567",0.0427,0.0426,0.3115,0.3589,0.0189,0.0097,7e-04,0.0677,0.0266,0.1062,0.0145,"","human","SMC","2018-09-05 00:00:00","false","{BFB9CE15-F0BA-416F-B688-9CEA5F6708C3}",NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"LALT500",0,0.007,0.001,0.0355,0.0025,0.0042,0,0.3633,0.0173,0.5392,0.03,"","human","SMC","2018-09-05 00:00:00","false","{81601753-AD63-4911-A368-A19C082DD4C9}",NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"204CE0602",0.0083,0.0097,0.1753,0.3657,0.0044,0.0125,0.0016,0.0622,0.3182,0.026,0.0161,"","human","SMC","2018-09-05 00:00:00","false","{41363A31-9E16-48C7-8BCF-33CFFDC7BAC7}",NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"520CC0354",8e-04,0.0119,0.0104,0.236,0.0062,0,3e-04,0.135,0.0145,0.5725,0.0124,"","human","SMC","2018-09-05 00:00:00","false","{7C774EDC-F43B-4FF4-9874-22BF5A2BDE00}",NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"506PS0062",0.0532,5e-04,0.2269,0.6628,0.0027,0.0172,0,0.0321,3e-04,0.002,0.0023,"","human","SMC","2018-09-05 00:00:00","false","{F5A2A2F6-64D7-4DF9-9FC9-B108159774C5}",NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"801S02567",0.0169,0.3251,1e-04,0.0648,0.0252,0.0594,0.0249,0.2162,0.1158,0.1349,0.0167,"","human","SMC","2018-09-05 00:00:00","true","{D1697719-BB24-4724-9CCB-9228311A5987}",NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"207PS0241",0.0127,0.0254,0.1063,0.1937,6e-04,0.0058,0.0011,0.2068,0.0917,0.2996,0.0563,"","human","SMC","2018-09-05 00:00:00","false","{52C7192A-57BA-439C-BCBC-8C5E592BA90F}",NA,NA,NA,NA,NA,NA,NA,NA,NA
30,"111WE0825",0.0502,0.1463,0.2709,0.4394,0.0841,0.0014,0.0028,0.0032,0,0.0016,1e-04,"","human","SMC","2018-09-05 00:00:00","false","{77B573D3-A461-46C1-8134-F4AD782272D3}",NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"203COD020",0.0151,0.0584,0.1643,0.1222,0.0014,0.0116,0.003,0.1014,0.3991,0.0221,0.1014,"","human","SMC","2018-09-05 00:00:00","false","{CA8B037A-8A20-4700-B84F-02F72118522E}",NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"405SMB060",2e-04,0.0328,0.0167,0.0293,2e-04,0.0215,0,0.2092,0.094,0.4552,0.1409,"","human","SMC","2018-09-05 00:00:00","true","{9F06A90A-0B6F-4675-8175-AB647BDA3371}",NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"111HSCAER",0.1676,0.0207,0.0722,0.0286,0.0167,0.0325,0.0022,0.6559,0.0026,9e-04,1e-04,"","machine","SWAMP","","false","{BD396325-614A-4492-9A30-2D967E994B17}",NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"513CE0251",0.0735,0.0041,0.5243,0.0861,0.0554,0.0715,1e-04,0.1387,0.0296,0.007,0.0097,"","human","SMC","2018-09-05 00:00:00","false","{47945B99-11AE-490C-B3CD-9E367CD3D5F8}",NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"532FC1271",0.0043,0.0239,7e-04,1e-04,0,0.4022,0.5571,0.0027,0.009,0,0,"","machine","SWAMP","","false","{F501CCE5-5234-4DF0-AAFF-33EBE9860689}",NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"308SANWIL",0.0241,0.1817,0.1272,0.2214,0.0141,0.009,0.0022,0.0446,0.2387,0.0642,0.0728,"","machine","SWAMP","","false","{3648888A-C1F5-4C4E-BEFF-EEF334F0AAF8}",NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"519PS0534",0.0114,0.0433,0.1133,0.2232,8e-04,0.0091,0.0013,0.1302,0.0762,0.3477,0.0435,"","machine","SWAMP","","false","{B80018B5-7531-4787-9B5D-64CC79D2D3A2}",NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"902SMSTN1",1e-04,0,0.0013,0.0012,0,0.0013,0,0.6042,0.0075,0.3823,0.0021,"","human","SMC","2018-09-05 00:00:00","true","{3F156277-9164-4798-A430-1FE1978397CB}",NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"508PS0042",0.0022,0.0036,0.0308,0.3436,0.0352,0,0.0073,0.0096,5e-04,0.5669,3e-04,"","machine","SWAMP","","false","{FBC70D3A-277A-4372-860E-4810C8F3A3F8}",NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"307CMRADC",0.0012,0.0144,0.0147,0.7294,0.0216,0.002,0.0024,0.0825,0.0138,0.107,0.011,"","human","SMC","2018-09-05 00:00:00","false","{349C7DBC-2D80-42D1-B1B7-553D59901750}",NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"909SWCASR",0.0053,0.0061,1e-04,0.0144,0.0018,0.0082,0,0.7599,0.1169,0.0582,0.0291,"","machine","SWAMP","","true","{AB0ACEC8-B1F9-47FB-929B-249060B44442}",NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"SMC01278",0,0.0068,0.0025,0.0361,0.0025,0.0038,0,0.2977,0.0198,0.6013,0.0295,"","human","SMC","2018-09-05 00:00:00","false","{675C1D56-AE17-42F2-B4E9-8D90B750F5E1}",NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"801S10259",0,6e-04,5e-04,9e-04,0,3e-04,0,0.5968,0.0066,0.3926,0.0017,"","machine","SWAMP","","true","{671E66D2-C579-4A5B-B2AC-29BD69ED7FB4}",NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"113PS0268",0.075,0.117,0.1657,0.287,0.0844,0.026,2e-04,0.0475,0.0075,0.1864,0.0033,"","human","SMC","2018-09-05 00:00:00","false","{147DC523-2283-4E1D-8633-1795CEA384C8}",NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"308PS0204",0.0192,0.0987,0.0358,0.0732,0.6135,0.0048,0.0102,0.0311,0.0276,0.0779,0.008,"","machine","SWAMP","","false","{A4D63424-7604-4A4D-9A6F-2DD97C3A2B14}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"505PS0940",0.0626,0.2477,0.0545,0.2682,0.3358,0.0048,0.0191,0.0011,9e-04,0.0053,0,"","machine","SWAMP","","false","{08DC691C-0C9D-47A9-AAAF-B6D158E10CDE}",NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"519FCA035",1e-04,0.0213,0.0133,0.3086,0.0191,2e-04,8e-04,0.0973,0.0126,0.5042,0.0225,"","machine","SWAMP","","false","{CF31645A-FD5C-4F18-9030-D61C84FAAEEB}",NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"204ALP010",3e-04,0.0183,0.0145,0.2676,0.0136,0.0011,4e-04,0.2311,0.0209,0.4211,0.0111,"","human","SMC","2018-09-05 00:00:00","false","{B35C04A9-D750-4C2D-80C9-786FDFEB0D68}",NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"507PS0122",0.0013,0.0016,0.0154,0.608,0.0089,0,0.0088,0.0266,0,0.329,4e-04,"","machine","SWAMP","","false","{A3A29304-561F-4CAA-B5A2-12F16AD08BB0}",NA,NA,NA,NA,NA,NA,NA,NA,NA
57,"907S00577",0,0,0,0.0026,0,1e-04,0,0.7531,0.0481,0.121,0.0751,"","human","SMC","2018-09-05 00:00:00","true","{0975FB6C-7707-4EC7-AC08-7C8C112A5228}",NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"603UOW002",0.0049,0.2418,7e-04,0.2678,0.0258,0.0351,0.0811,0.0029,0.2996,0.0369,0.0034,"","human","SMC","2018-09-05 00:00:00","false","{7719EE85-B5EE-463B-9DDB-712B7586FCA6}",NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"202BUT010",0.0445,0.1499,0.1039,0.1959,0.0656,0.014,0.0226,0.0901,0.1153,0.096,0.1022,"","human","SMC","2018-09-05 00:00:00","false","{BDC54951-9CDB-4518-9C0E-D0AA9B28C897}",NA,NA,NA,NA,NA,NA,NA,NA,NA
66,"903NP9PRC",1e-04,0,2e-04,0.002,0,0.0017,0,0.6095,0.0815,0.1658,0.1392,"","machine","SWAMP","","true","{2F745812-CB67-4767-8C87-DD46DE199104}",NA,NA,NA,NA,NA,NA,NA,NA,NA
67,"404M07358",0.0017,0.0592,0.0132,0.0356,3e-04,0.0197,0,0.1978,0.0922,0.4552,0.1251,"2018-01-11 14:30:43.67","human","SMC","2018-09-05 00:00:00","true","{63543F03-5C78-485E-B93D-5A179ADF4DCF}",NA,NA,NA,NA,NA,NA,NA,NA,NA
70,"308SAM",0.0163,0.0331,0.1211,0.0912,0.0151,5e-04,0.002,0.0109,0.6622,0.0213,0.0263,"","human","SMC","2018-09-05 00:00:00","false","{E1E57D1D-FF38-4FC5-9C86-8118BFD57824}",NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"103FCA168",0.3463,0.1384,0.4097,0.0843,0.0056,0.0041,0.0021,0.0052,0.0028,0.001,5e-04,"","human","SMC","2018-09-05 00:00:00","false","{BEE9318A-DAA0-4A31-84AD-199BD1A75A85}",NA,NA,NA,NA,NA,NA,NA,NA,NA
74,"722ABSPPC",0,7e-04,0,0.0024,0,1e-04,0,0.4372,0.0292,0.3757,0.1547,"","human","SMC","2018-09-05 00:00:00","false","{69C90562-2BAF-48AC-9131-7CF28A1BB76F}",NA,NA,NA,NA,NA,NA,NA,NA,NA
75,"906LPRSC4",5e-04,0.0278,0.0049,0.0318,0.004,0.0036,0,0.375,0.0751,0.4111,0.0662,"","human","SMC","2018-09-05 00:00:00","true","{A71D7ED5-9D3A-4453-BA78-6697D4D55F27}",NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"509CBCADC",0.8743,0.0573,0.0049,0.0128,0.0094,0.0314,0.0019,0.008,0,0,0,"","human","SMC","2018-09-05 00:00:00","false","{2248F58A-31DE-47EA-8956-6EF82A900A57}",NA,NA,NA,NA,NA,NA,NA,NA,NA
77,"603HCH6xx",0.0245,0.1614,1e-04,0.1298,0.0166,0.0207,0.3504,0.0015,0.2891,0.0046,0.0013,"","human","SMC","2018-09-05 00:00:00","false","{462C5CCC-AE4A-4203-8038-7FC09CC6E726}",NA,NA,NA,NA,NA,NA,NA,NA,NA
78,"514PCASMR",0.4642,0.2047,0.0999,0.163,0.0366,0.0142,0.0031,0.0072,0.006,9e-04,2e-04,"","human","SMC","2018-09-05 00:00:00","false","{5DED8B76-8A53-45B9-A3CA-0353BB829720}",NA,NA,NA,NA,NA,NA,NA,NA,NA
80,"539CCRARR",2e-04,0.0081,0.0044,0.3505,0.0077,7e-04,1e-04,0.1486,0.0054,0.4698,0.0045,"","machine","SWAMP","","false","{278262B7-0672-4354-A617-091493C8AD4D}",NA,NA,NA,NA,NA,NA,NA,NA,NA
81,"526CE0341",0.1259,0.2708,0.1327,0.2581,0.1169,0.0631,0.006,0.0038,0.0018,0.0201,8e-04,"","machine","SWAMP","","false","{187D71CC-6692-4EA6-BCD6-FAAC243ACDA0}",NA,NA,NA,NA,NA,NA,NA,NA,NA
83,"403WE1021",1e-04,3e-04,0,0.002,0,0,0,0.1142,0.0624,0.814,0.007,"","human","SMC","2018-09-05 00:00:00","true","{96BC38CD-C83A-46E7-B6C9-FD9EF4809B4B}",NA,NA,NA,NA,NA,NA,NA,NA,NA
84,"554SED016",0.0905,0.0775,0.0034,0.0288,0.0474,0.0323,0.0173,0.01,0.6642,0.0181,0.0105,"","human","SMC","2018-09-05 00:00:00","false","{4274BEFB-E4BD-4427-BDFF-FECA2FE2B795}",NA,NA,NA,NA,NA,NA,NA,NA,NA
85,"632SED032",2e-04,0.2981,0,0.0064,0.0034,9e-04,0.658,5e-04,0.0322,3e-04,0,"","human","SMC","2018-09-05 00:00:00","false","{E99F4DEB-1020-4724-B428-D3FAD4435711}",NA,NA,NA,NA,NA,NA,NA,NA,NA
87,"106PS0022",0.1365,0.0104,0.5644,0.0279,0.0406,0.1551,1e-04,0.0563,0.0077,9e-04,1e-04,"","machine","SWAMP","","false","{1850E04B-7AD2-49F7-BF63-7E2A9C7D2984}",NA,NA,NA,NA,NA,NA,NA,NA,NA
88,"801M16908",0,0.001,1e-04,0.0424,0.0012,0.0025,1e-04,0.2723,0.0076,0.6578,0.015,"2018-01-11 14:30:43.687","human","SMC","2018-09-05 00:00:00","true","{F779DA95-C34E-4A67-BB28-0FBC873023D9}",NA,NA,NA,NA,NA,NA,NA,NA,NA
89,"632PS0046",0.0189,0.1709,0.0041,0.2416,0.0781,0.0352,0.1053,0.0325,0.1373,0.1752,9e-04,"","human","SMC","2018-09-05 00:00:00","false","{031DD69E-B90C-4FA9-90C0-0E469852FCA6}",NA,NA,NA,NA,NA,NA,NA,NA,NA
93,"505PS1180",0.0716,0.2299,0.0371,0.1982,0.4448,0.0117,0.0023,0.0026,2e-04,0.0016,0,"","human","SMC","2018-09-05 00:00:00","false","{4B48BE5E-F8F7-413F-99CD-3C5F9543EE95}",NA,NA,NA,NA,NA,NA,NA,NA,NA
94,"403STC086",9e-04,0.0046,0.0018,0.0312,4e-04,5e-04,1e-04,0.761,0.0205,0.1693,0.0097,"","machine","SWAMP","","true","{FEEFDAC7-15B0-42C1-9C1B-08A3C307BE70}",NA,NA,NA,NA,NA,NA,NA,NA,NA
95,"911PCH80x",2e-04,0.0029,2e-04,0.0032,0.0014,0.0017,0,0.774,0.1313,0.0639,0.0212,"","human","SMC","2018-09-05 00:00:00","true","{D053F736-8317-4ED2-802B-B18A96EEB7C3}",NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"554CE0204",0.2483,0.0379,0,0.0245,0.0167,0.1522,0.2774,0.0374,0.2009,8e-04,0.0039,"","human","SMC","2018-09-05 00:00:00","false","{76F2B8FD-2634-4234-A546-56682BE39D31}",NA,NA,NA,NA,NA,NA,NA,NA,NA
99,"514CE0523",0.0021,0.0201,0.1626,0.2096,5e-04,0.0112,0.0028,0.2272,0.0658,0.2744,0.0237,"","machine","SWAMP","","false","{CCA87C65-7BE0-437E-8BDB-2D2687D15004}",NA,NA,NA,NA,NA,NA,NA,NA,NA
100,"202PES080",0.0575,0.038,0.2429,0.1373,0.013,0.0223,0.0064,0.0689,0.3579,0.0203,0.0355,"","human","SMC","2018-09-05 00:00:00","false","{7242E302-B15C-4847-A989-A53EA627A242}",NA,NA,NA,NA,NA,NA,NA,NA,NA
101,"513PS0024",0.0121,0.009,0.0769,0.4323,0.0048,0.0049,0.0027,0.2252,0.0074,0.2051,0.0196,"","human","SMC","2018-09-05 00:00:00","false","{A925087B-F2DC-4B0D-80F9-C728D9424CAC}",NA,NA,NA,NA,NA,NA,NA,NA,NA
107,"521FCA170",0.2001,0.3647,0.0151,0.086,0.3067,0.0146,0.0048,0.0027,9e-04,0.0044,0,"","human","SMC","2018-09-05 00:00:00","false","{DFBFF445-C2A8-4A02-9CC7-73C4EA6A05E9}",NA,NA,NA,NA,NA,NA,NA,NA,NA
108,"519PS0646",2e-04,0.0284,0.0169,0.2265,0.0034,6e-04,0.0017,0.1261,0.0178,0.5488,0.0296,"","machine","SWAMP","","false","{F5EBBB50-119E-4AAB-B12B-CD007812A47A}",NA,NA,NA,NA,NA,NA,NA,NA,NA
109,"203COD080",0.0249,0.0696,0.1533,0.1648,0.0012,0.0153,0.003,0.1075,0.3743,0.0219,0.0642,"","human","SMC","2018-09-05 00:00:00","false","{63352585-364C-4591-95B9-6D39E5B68627}",NA,NA,NA,NA,NA,NA,NA,NA,NA
110,"631PS0087",0.0113,0.0728,0,0.0851,1e-04,0.18,0.5954,0.0021,0.0532,0,0,"","human","SMC","2018-09-05 00:00:00","false","{EF285DD0-21BE-474C-85A7-1DC8FC919DF3}",NA,NA,NA,NA,NA,NA,NA,NA,NA
112,"802S09698",0.004,0.1669,0,0.0126,0.0079,0.1572,0.0096,0.2614,0.0521,0.2816,0.0467,"2017-04-04 15:53:38.217","human","SMC","2018-09-05 00:00:00","true","{B8105F4F-D65F-4AA4-88CC-C347C8A979BF}",NA,NA,NA,NA,NA,NA,NA,NA,NA
113,"554SED019",0.0239,0.0808,0,0.6664,0.049,0.0277,0.0123,0.0074,0.0943,0.0353,0.0029,"","human","SMC","2018-09-05 00:00:00","false","{75089FB2-3043-443F-AD84-01F1B30E6DC9}",NA,NA,NA,NA,NA,NA,NA,NA,NA
114,"902SMRWGR",0,5e-04,0,0.0139,0.0053,1e-04,0,0.641,2e-04,0.335,0.004,"","human","SMC","2018-09-05 00:00:00","true","{17B1C580-DF38-4195-AF32-D387579FB4A4}",NA,NA,NA,NA,NA,NA,NA,NA,NA
115,"523PS0222",5e-04,0.0012,0.0081,0.3666,0.0044,1e-04,1e-04,0.0495,7e-04,0.5673,0.0015,"","human","SMC","2018-09-05 00:00:00","false","{9A28F5EB-87D2-4877-AC24-9AD3FC01A1E2}",NA,NA,NA,NA,NA,NA,NA,NA,NA
116,"632BGV002",0.0086,0.0247,0,6e-04,9e-04,0.0189,0.0832,0.0021,0.8607,0,3e-04,"","human","SMC","2018-09-05 00:00:00","false","{79BB9FA3-3242-4917-A4A0-C350915361AB}",NA,NA,NA,NA,NA,NA,NA,NA,NA
119,"526PS0504",0.1498,0.1534,0,0.008,0.0116,0.4188,0.2096,0.0262,0.0207,0.0011,8e-04,"","human","SMC","2018-09-05 00:00:00","false","{FB6ED73B-0DAE-4DF4-9375-47C61CAA8CE6}",NA,NA,NA,NA,NA,NA,NA,NA,NA
121,"308BSR",0.0135,0.2099,0.0435,0.0746,0.4605,0.0073,0.0176,0.028,0.0501,0.0649,0.0301,"","machine","SWAMP","","false","{62AFB3C3-69F1-4507-8006-57FE34A593B8}",NA,NA,NA,NA,NA,NA,NA,NA,NA
122,"801MFC100",0.0134,0.0416,7e-04,0.0028,0.0313,0.5484,0.007,0.0913,0.122,0.0043,0.1372,"","human","SMC","2018-09-05 00:00:00","true","{9E0DD561-A27A-45F7-9204-C3672B55ECB8}",NA,NA,NA,NA,NA,NA,NA,NA,NA
124,"635PRN001",0.1036,0.8024,2e-04,5e-04,0.003,0.031,0.0275,0.0118,0.0148,0,0.0052,"","human","SMC","2018-09-05 00:00:00","false","{72917F53-87F6-4049-B3D5-4D4CB2AD352B}",NA,NA,NA,NA,NA,NA,NA,NA,NA
126,"105PS0129",0.1826,0.1538,0.4116,0.2076,0.0268,0.0093,0,0.0067,4e-04,8e-04,4e-04,"","human","SMC","2018-09-05 00:00:00","false","{1984E112-4FB0-4305-B18B-A5F3516CAD7B}",NA,NA,NA,NA,NA,NA,NA,NA,NA
127,"554SED027",0.6545,0.018,0,0.0051,0.0216,0.0289,0.1411,0.0468,0.0787,0.0026,0.0027,"","machine","SWAMP","","false","{829C58B9-D4ED-4800-92EE-27B5F920A8AA}",NA,NA,NA,NA,NA,NA,NA,NA,NA
128,"601PRK002",0.0056,0.0478,0,0.0032,0.0013,0.2436,0.6737,0.0015,0.0233,0,0,"","human","SMC","2018-09-05 00:00:00","false","{969E347F-05FA-4968-8E01-384742DE2226}",NA,NA,NA,NA,NA,NA,NA,NA,NA
129,"801S02059",0,0.0016,0,0.0467,0.0057,0.0023,0,0.3181,0.0101,0.5873,0.0282,"2017-04-04 15:53:38.183","human","SMC","2018-09-05 00:00:00","true","{4A6D0871-A482-4C20-B859-999AA8487E00}",NA,NA,NA,NA,NA,NA,NA,NA,NA
130,"631LWK001",0.0083,0.5149,1e-04,0.0134,0.0071,0.0079,0.3411,0.0012,0.1032,0.0028,0,"","human","SMC","2018-09-05 00:00:00","false","{D6F11028-8032-44AC-907B-A3989A33328C}",NA,NA,NA,NA,NA,NA,NA,NA,NA
132,"113GAR245",0.107,0.0043,0.364,0.2233,0.0481,9e-04,0,0.2106,0.0052,0.0316,0.005,"","machine","SWAMP","","false","{B9EA3ECE-923E-426E-BEA3-A7E79AC3E21C}",NA,NA,NA,NA,NA,NA,NA,NA,NA
133,"403S16332",0,3e-04,0,0.0875,0.0069,0,0,0.3514,0.0488,0.4989,0.0062,"","human","SMC","2018-09-05 00:00:00","true","{821E326D-07C9-4C44-9C23-E9EE30EF37E4}",NA,NA,NA,NA,NA,NA,NA,NA,NA
136,"304BH9",0.16,0.0284,0.2258,0.3605,0.052,0.0038,1e-04,0.0853,0.0117,0.0602,0.0122,"","human","SMC","2018-09-05 00:00:00","false","{43EC7C31-08DD-4E4D-A045-360AAE535B07}",NA,NA,NA,NA,NA,NA,NA,NA,NA
137,"603DDM004",8e-04,0.0048,0,0.001,0.0017,0.1206,0.8683,7e-04,0.0021,0,0,"","human","SMC","2018-09-05 00:00:00","false","{AE6F8FFE-9285-4C9D-B468-12A55AD82B7D}",NA,NA,NA,NA,NA,NA,NA,NA,NA
138,"801WE1043",2e-04,0.0054,0,0.0068,0,0.0084,0,0.3012,0.0637,0.4084,0.2059,"","machine","SWAMP","","true","{07B85E39-2AA5-43A4-AB53-6D7F840759C2}",NA,NA,NA,NA,NA,NA,NA,NA,NA
139,"705PCCPCP",0.0051,0.0828,0,0.0206,5e-04,0.049,4e-04,0.3923,0.0932,0.2653,0.0908,"","human","SMC","2018-09-05 00:00:00","false","{79981AB8-72DD-46B8-9432-AC4E6DC10120}",NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"633PS0003",0.0042,0.025,0,0.0011,2e-04,0.1683,0.7784,0.0046,0.0182,0,0,"","machine","SWAMP","","false","{E886F05A-C7CF-4445-8130-B0C04BB0E82E}",NA,NA,NA,NA,NA,NA,NA,NA,NA
147,"111WE1065",0.3787,0.0327,0.1881,0.0693,0.0042,0.2321,0.0049,0.0844,0.004,0.0011,5e-04,"","human","SMC","2018-09-05 00:00:00","false","{1149DF52-B78A-4863-83FB-1BD3205B660D}",NA,NA,NA,NA,NA,NA,NA,NA,NA
149,"514MDCABC",0.0133,0.0171,0.0038,1e-04,0,0.201,0.7541,0.0021,0.0085,0,0,"","human","SMC","2018-09-05 00:00:00","false","{1543C3D0-6567-4F79-BCA4-C27D8448B30E}",NA,NA,NA,NA,NA,NA,NA,NA,NA
151,"552WE0509",0.201,0.2873,2e-04,0.0114,0.093,0.0393,0.0971,0.0738,0.1782,5e-04,0.0182,"","machine","SWAMP","","false","{4BE7F1E0-9A9C-4785-B71B-98D1CE964349}",NA,NA,NA,NA,NA,NA,NA,NA,NA
152,"901S45253",0,0.003,4e-04,0.0142,0.0014,1e-04,0,0.5818,0.0012,0.3942,0.0037,"","machine","SWAMP","","true","{40D034E5-D076-4B75-97FC-6151CDF6E1F7}",NA,NA,NA,NA,NA,NA,NA,NA,NA
153,"531PS0429",3e-04,0.0285,0.0126,0.3151,0.0082,0.0022,2e-04,0.1508,0.0195,0.4434,0.0192,"","human","SMC","2018-09-05 00:00:00","false","{75431FF4-BD0D-4507-B800-D40686BE5577}",NA,NA,NA,NA,NA,NA,NA,NA,NA
