"objectid","stationcode","pgroup1","pgroup2","pgroup3","pgroup4","pgroup5","pgroup6","pgroup7","pgroup8","pgroup9","pgroup10","pgroup11","lastupdatedate","processed_by","record_origin","origin_lastupdatedate","record_publish","globalid","created_user","created_date","last_edited_user","last_edited_date","login_email","login_agency","login_owner","login_year","login_project"
2619,"845PS0011",0,0.0081,0.0013,0.0015,1e-04,0.0052,0,0.1012,0.0249,0.8284,0.0293,"","human","SMC","2018-09-05 00:00:00","true","{495D7FE3-764E-4F99-985B-BFEC2A97C0B4}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2620,"106WE0581",0.5802,0.1518,0.0935,0.0634,0.0275,0.0461,0.002,0.0351,0,4e-04,0,"","human","SMC","2018-09-05 00:00:00","false","{97601AD4-41E4-4EEB-BFEA-D229BE016C5F}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2621,"308MWCAH1",0.1044,0.0236,0.2242,0.3132,0.0587,0.0058,0.0014,0.0443,0.2199,0.0014,0.0031,"","human","SMC","2018-09-05 00:00:00","false","{1747AE5A-8273-4B19-B60C-FE45ABB8E76A}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2622,"802INC635",0.0026,0.0191,5e-04,0.0148,0.001,0.1695,0.0023,0.3035,0.0513,0.2336,0.2018,"2017-04-04 15:53:38.217","human","SMC","2018-09-05 00:00:00","true","{D07C343F-9050-4398-8010-2306F25A9DBE}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2623,"904CBESC8",2e-04,0.0145,0.0032,0.0261,0.0041,0.0015,0,0.4134,0.0529,0.4367,0.0474,"","human","SMC","2018-09-05 00:00:00","true","{A90FFEFB-3D63-4488-9B40-F55D43D211AB}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2627,"603UOW004",0.0044,0.376,2e-04,0.1736,0.0161,0.0138,0.1638,5e-04,0.2236,0.0273,7e-04,"","human","SMC","2018-09-05 00:00:00","false","{215F1B46-DAF7-470D-B32B-032AB6B5CA12}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2628,"310CAW192",0.0117,0.0628,0.0576,0.3059,0.0015,3e-04,1e-04,0.0874,0.0771,0.206,0.1896,"","human","SMC","2018-09-05 00:00:00","false","{92189791-289B-4133-8E2A-1976B6805FCB}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2629,"519PS0578",0.0062,0.0447,0.0561,0.306,0.002,0.0042,0.0023,0.1187,0.0311,0.394,0.0347,"","human","SMC","2018-09-05 00:00:00","false","{06B5AE51-B32F-4CF2-AFAA-D92FA2C89E69}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2631,"633WE0991",0.0059,0.8013,1e-04,9e-04,3e-04,0.0116,0.0918,0.0376,0.0505,0,0,"","machine","SWAMP","","false","{395C7D3A-CDF0-4B29-8500-79FC7EBA555B}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2632,"204PS0038",0.0059,0.0883,0.0483,0.2848,0.0795,0.0032,0.0187,0.1407,0.0717,0.0978,0.1611,"","human","SMC","2018-09-05 00:00:00","false","{C0B57824-3062-46CB-A423-8EA31F62D71C}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2633,"404S28270",0,0.0015,0,0.0188,0,0.0033,0,0.0991,0.005,0.783,0.0893,"","human","SMC","2018-09-05 00:00:00","true","{71A3AC44-6364-4D73-A7EB-6050667E1C5B}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2635,"511WLSR27",3e-04,0.027,0.0157,0.3317,0.0099,2e-04,0.001,0.1275,0.0162,0.4548,0.0157,"","human","SMC","2018-09-05 00:00:00","false","{F6617DB8-6243-4CF3-9B0D-763DF81E151C}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2637,"103STCNSR",0.2749,0.114,0.392,0.1908,0.0168,0.0012,2e-04,0.0041,0.0024,0.0021,0.0015,"","machine","SWAMP","","false","{DBA59364-BCE7-4B7A-A590-9C3C32E186AA}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2638,"633PS0083",0.004,0.0561,1e-04,0,0,0.1781,0.7447,0.0021,0.0138,0,0.0011,"","human","SMC","2018-09-05 00:00:00","false","{4590D787-EAE1-4FD2-A4ED-3345C58229AA}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2640,"801RB8594",0,0.0011,1e-04,0.0439,0.0058,0.0026,0,0.2623,0.0075,0.6616,0.0151,"","human","SMC","2018-09-05 00:00:00","true","{19EDBBB1-BC1C-4F59-98BB-6E092EC83345}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2642,"604WER244",0.0176,0.0194,0,0.0031,0,0.0659,0.1708,0.0015,0.7217,0,0,"","human","SMC","2018-09-05 00:00:00","false","{06EFE4B1-96DC-4848-A607-9A0231D7DBFD}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2643,"520WE1103",7e-04,0.0134,0.0087,0.2914,0.0196,3e-04,0,0.0954,0.0132,0.5432,0.0141,"","human","SMC","2018-09-05 00:00:00","false","{70E81478-CEA0-4C7A-973A-2D84504B4213}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2644,"204SLE180",0.0094,0.0148,0.1432,0.4158,0.0044,0.0123,0.0029,0.0694,0.2494,0.0429,0.0355,"","human","SMC","2018-09-05 00:00:00","false","{90DC3431-E202-4F05-A502-4FFC1C31CFBE}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2645,"509PS0049",0.0993,0.42,0.0036,0.0192,0.2056,0.213,0.0144,0.0104,0.0031,0.0069,0.0045,"","human","SMC","2018-09-05 00:00:00","false","{FF42EDB6-4A37-40B4-883E-7749F66E9B5E}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2646,"526PS0220",0.0522,0.0971,0.0973,0.2155,0.3663,0.0163,0.111,0.0082,0.0021,0.0324,0.0016,"","machine","SWAMP","","false","{A0C669AE-4E5A-4BBD-A04E-AEA09AB17EA8}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2648,"405BRCAMS",0.001,0.0092,0.012,0.6851,0.0015,0.0016,1e-04,0.0656,0.0506,0.0523,0.121,"","machine","SWAMP","","true","{322F53CC-DEC8-4A2D-BDC0-BD42B9F90FFE}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2652,"634CE0482",0.0208,0.0086,1e-04,0,1e-04,0.0394,0.9058,0.0158,0.0092,0,2e-04,"","human","SMC","2018-09-05 00:00:00","false","{0DAF7ABB-B85E-4646-AE2D-34CAA219D99D}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2653,"513UNCAKC",0.0309,0.0075,0.2569,0.2258,0.0138,0.0136,0.0022,0.1125,0.0394,0.1437,0.1537,"","machine","SWAMP","","false","{A7FE4D89-F320-496E-98B8-7C235B38D18C}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2655,"304CE0532",0.0873,0.0507,0.1639,0.4133,0.0315,0.0064,2e-04,0.0713,0.0098,0.1606,0.005,"","human","SMC","2018-09-05 00:00:00","false","{2CF01BBC-0225-4C18-8735-7BF63A59F291}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2656,"905DGSY1x",1e-04,3e-04,0,6e-04,0,2e-04,0,0.7102,0.079,0.0962,0.1134,"","human","SMC","2018-09-05 00:00:00","true","{F31FB3EF-2423-4F0D-88A6-371E0FB75DF4}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2657,"403STC030",0.0038,0.0102,6e-04,0.0303,7e-04,1e-04,6e-04,0.1333,0.017,0.7975,0.0059,"","human","SMC","2018-09-05 00:00:00","true","{1BD37D9A-E3B4-48C9-A0F5-638B6B970069}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2658,"111PS0008",0.0375,0.051,0.076,0.6645,0.0727,0.0014,0.0047,0.0161,5e-04,0.0752,4e-04,"","machine","SWAMP","","false","{E8C9507D-C7FC-4386-A3C0-407214D1CD15}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2660,"911M24913",0,0,0,0.004,7e-04,1e-04,2e-04,0.5407,0.2784,0.1162,0.0597,"","human","SMC","2018-09-05 00:00:00","true","{2813822D-0008-4770-989E-E9CE3F55A5F1}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2662,"404S32468",0,0.0017,1e-04,0.057,0.001,0.0034,0,0.2995,0.0017,0.5888,0.0468,"","machine","SWAMP","","true","{8E9B0F52-526C-4CBA-814C-CB2DF7B99E42}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2663,"508PS0458",0.0025,0.0061,0.0569,0.4893,0.0514,2e-04,7e-04,0.0078,3e-04,0.3845,3e-04,"","human","SMC","2018-09-05 00:00:00","false","{AFFF40C1-6C01-4667-84BA-9E0C8EE13A87}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2664,"201RDW100",0.1139,0.0547,0.4746,0.1179,0.0168,0.0108,0.01,0.0306,0.1523,0.0069,0.0115,"","human","SMC","2018-09-05 00:00:00","false","{CB58DC0F-829D-4BEF-BC30-50E05D952EBB}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2665,"905SDGVC2",0,6e-04,1e-04,2e-04,0,1e-04,0,0.3232,0.0666,0.5205,0.0887,"","machine","SWAMP","","true","{899A6021-55CE-4C8D-95AB-5F7F2CEAC601}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2668,"201WLK180",0.1355,0.0263,0.2686,0.1288,0.0587,0.0039,2e-04,0.0944,0.2715,0.0089,0.0032,"","human","SMC","2018-09-05 00:00:00","false","{B38BF8BF-C369-4E3E-9037-B91E86ACFCCA}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2669,"403M01500",0,0.0142,0.0034,0.0216,1e-04,0.0011,0,0.1485,0.021,0.7567,0.0334,"2018-01-11 14:30:43.653","human","SMC","2018-09-05 00:00:00","true","{4DA22B94-536F-488E-A378-86A6DA2449B2}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2670,"509SPIJD3",0.9074,0.0122,0.026,0.0301,0.0063,0.0097,1e-04,0.006,0.0011,3e-04,8e-04,"","machine","SWAMP","","false","{FE97BF01-ED5D-458E-99C9-EEEE0AC433C9}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2672,"205CE0132",0.0099,0.0483,0.0705,0.3105,0.0628,0.0071,0.0075,0.0432,0.032,0.3934,0.0148,"","machine","SWAMP","","false","{AB6023C9-D6E9-4F22-83C0-26CF14FB7C24}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2673,"304SOU",0.0176,0.1431,0.1173,0.26,0.0686,0.0162,0.0052,0.0498,0.0144,0.2995,0.0083,"","human","SMC","2018-09-05 00:00:00","false","{3AE3924E-3818-4536-BF3A-F690BAB8B709}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2674,"105WE0613",0.2704,0.1314,0.0883,0.4634,0.0356,0.0031,1e-04,0.0031,2e-04,0.0018,0.0026,"","human","SMC","2018-09-05 00:00:00","false","{D8DB92E6-42D1-46D5-993D-5C87561D0B7A}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2676,"305CAW161",4e-04,0.0224,0.0129,0.211,0.0142,5e-04,1e-04,0.2224,0.0157,0.4861,0.0143,"","machine","SWAMP","","false","{7BFE8393-374C-4F6B-82B4-D62D2846DDD5}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2677,"412LAR018",0,0.0014,0.0017,0.0028,0,0.0024,0,0.2513,0.214,0.1393,0.3871,"","machine","SWAMP","","true","{142EFEF6-C5C7-4F88-BCCC-B6242B5FE937}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2679,"405WE0777",0.0299,0.043,0.0104,0.2477,0.0017,0.0263,9e-04,0.1457,0.2687,0.0601,0.1656,"","human","SMC","2018-09-05 00:00:00","true","{338C94B7-3E15-4880-8891-EFBCABFAB394}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2681,"514SED103",0.6592,0.1325,1e-04,5e-04,0.0135,0.0285,0.0801,0.0094,0.0748,0,0.0014,"","human","SMC","2018-09-05 00:00:00","false","{8FE98F56-F10E-472F-A845-C493E2545CC5}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2682,"911TJLCC2",0.0012,0.0302,0,0.0095,0.0018,0.0029,1e-04,0.8011,0.0955,0.042,0.0157,"","human","SMC","2018-09-05 00:00:00","true","{5F97F296-87B5-4B3A-A574-4A55AF4C601A}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2683,"631POR001",0.0242,0.0185,0,0.0014,0.001,0.0324,0.2819,0.0015,0.6388,0,3e-04,"","human","SMC","2018-09-05 00:00:00","false","{172EBFC7-F1E5-4792-82FD-C10B63179BF9}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2685,"504PS0595",4e-04,0.008,0.0102,0.2672,0.0199,3e-04,0,0.0927,0.0114,0.5805,0.0094,"","machine","SWAMP","","false","{2AB4B297-0D45-4F88-8412-21FE1A87C881}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2686,"111WER077",0.1948,0.0968,0.5469,0.0771,0.0294,0.0024,2e-04,0.0128,0.0149,0.0187,0.006,"","human","SMC","2018-09-05 00:00:00","false","{58503168-3380-4F77-841B-49BA550BC244}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2688,"404BA0104",0,0.0017,2e-04,0.071,9e-04,0.0018,0,0.3037,0.0012,0.5591,0.0604,"","machine","SWAMP","","true","{A623DE43-1015-4D59-97CC-33357DD97361}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2689,"407CE0668",2e-04,0.0097,0.0063,0.0178,0,0.0056,0,0.1737,0.0182,0.7386,0.0299,"","machine","SWAMP","","true","{09C1952D-8742-4C94-BF17-3DEF4D665D78}",NA,NA,NA,NA,NA,NA,NA,NA,NA
