p10,p25,p50,p75,p90,metric,comid,result_type
6,18.5,36,73,113,DS_Dur_WS,15014869,observed
330.1,353.25,360,365.75,379.4000000000001,DS_Tim,15014869,observed
0,0.41000000000000003,3.2,8.7,110,DS_Mag_50,15014869,observed
0.84,3.05,22.300000000000047,144.85000000000002,244,DS_Mag_90,15014869,observed
1.9000000000000004,2,3,5,5,FA_Dur,15014869,observed
18.500956336114704,31.966933059099542,144.4523076920401,290.43912306406327,450.2784929358686,FA_Mag,15014869,observed
0,4.75,7,10.25,21.000000000000014,FA_Tim,15014869,observed
0.02909678680056414,0.04766067978522572,0.08252786729487491,0.19786242328435932,0.4573686906314025,SP_ROC,15014869,observed
19.2,30,82,129,163.79999999999998,SP_Dur,15014869,observed
371,471,531,569,585,SP_Mag,15014869,observed
178.7,230.75,275,327.25,348.09999999999997,SP_Tim,15014869,observed
143,188.5,248,299.5,338,Wet_BFL_Dur,15014869,observed
0,1.8,17.20000000000001,164.55,303.6,Wet_BFL_Mag_10,15014869,observed
28,182.5,302,495,552,Wet_BFL_Mag_50,15014869,observed
5,13,32,57.25,97.10000000000007,Wet_Tim,15014869,observed
49.79999999999999,111,230,247,316.59999999999997,Peak_Tim_10,15014869,observed
103,137,170,214,252,Peak_Tim_2,15014869,observed
93.6,138,205,239,259.09999999999997,Peak_Tim_5,15014869,observed
1,1,1,1,1,Peak_Dur_10,15014869,observed
1,2,10,46,73,Peak_Dur_2,15014869,observed
1,8,14,29,62.399999999999935,Peak_Dur_5,15014869,observed
613,613,613,613,613,Peak_10,15014869,observed
583,583,583,583,583,Peak_2,15014869,observed
595,595,595,595,595,Peak_5,15014869,observed
1,1,1,1,1,Peak_Fre_10,15014869,observed
1,1,4,10,15,Peak_Fre_2,15014869,observed
1,4,4,5,14.999999999999979,Peak_Fre_5,15014869,observed
