comid,metric,p10,p25,p50,p75,p90,source,result_type
7981848,Peak_10,82.2167963071247,133.722645817179,199.873250047112,246.837213691866,450.381817600887,model,predicted
7981848,Peak_2,19.7269458904999,36.7385033592744,54.0230336643216,85.0624716765794,146.11540523346702,model,predicted
7981848,Peak_5,58.47029605332,92.70914103558201,135.070933479057,178.728217158177,257.02110010887003,model,predicted
7981848,DS_Dur_WS,114.605,156.33125,200.25,239.53125,270.8025,model,predicted
7981848,DS_Mag_50,0,0.00700788218110782,0.0508756782448634,0.113843780962775,0.20377325868563,model,predicted
7981848,DS_Mag_90,0.0217205175474295,0.0925766220565381,0.234899993459186,0.513543166594142,0.85106155754034,model,predicted
7981848,DS_Tim,188.405,212.625,241.208333333333,278.141666666667,315.598333333333,model,predicted
7981848,FA_Mag,0.530919197215227,1.03154921677573,2.88203679992721,7.00969608763943,11.5440298420394,model,predicted
7981848,FA_Tim,9.885,22.2,42.45,56,65,model,predicted
7981848,SP_Dur,22.5625,35.9,67.95,111.8125,151.065,model,predicted
7981848,SP_Mag,3.15058847589141,8.62217462687735,25.6359677194107,54.7181473765127,77.943858510722,model,predicted
7981848,SP_Tim,146,159.833333333333,180,206.175,230.275,model,predicted
7981848,Wet_BFL_Dur,44.1,68.25,102.6,138.541666666667,171.9525,model,predicted
7981848,Wet_BFL_Mag_10,0.0371869874497877,0.117303005114932,0.268592245591573,0.507257668043192,0.837461499076531,model,predicted
7981848,Wet_BFL_Mag_50,0.375132614425353,0.65439124639203206,1.36178772710127,2.79529297630054,6.36964637230607,model,predicted
7981848,Wet_Tim,41.2333333333333,63.75,79.5,97.6666666666667,118.205,model,predicted
