Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
2001,77,360,0.31,22.400000000000034,NA,NA,NA,0.11722488038277512,24,353,336,331,3.3,147,5,NA,NA,NA,NA,NA,NA,613,583,595,NA,NA,NA
2002,75,361,4.2,153.60000000000005,3,19.00216757401902,0,0.05797101449275367,30,543,331,260,235.8,514,71,247,284,229,1,75,45,613,583,595,1,7,4
2003,24,358,3.95,237.8,2,197.00245184671053,7,0.41977401129943503,82,490,276,206,137.5,487,70,NA,NA,NA,NA,NA,NA,613,583,595,NA,NA,NA
2004,113,353,0,2.0799999999999996,NA,NA,NA,0.039396551724137946,115,471,238,222,232,374,16,NA,NA,NA,NA,NA,NA,613,583,595,NA,NA,NA
2005,56,405,225.5,244,NA,NA,NA,0.011204569706860838,141,517,264,164,178.1,461.5,100,NA,NA,NA,NA,NA,NA,613,583,595,NA,NA,NA
2006,54,392,110,136.10000000000002,5,408.9294205084243,10,0.02186878727634195,189,548,203,147,225,552,56,NA,103,99,NA,47,29,613,583,595,NA,9,9
2007,26,368,28.5,101.5,2,183.95731846435382,7,0.09245259888852567,129,418,239,185,75.80000000000001,207,54,NA,NA,NA,NA,NA,NA,613,583,595,NA,NA,NA
2008,8,361,0.32,1.3699999999999999,1,40.99879295436895,0,0.08427097984060011,13,525,348,322,87,176.5,26,NA,NA,NA,NA,NA,NA,613,583,595,NA,NA,NA
2009,4,363,0.84,0.84,NA,NA,NA,0.08126950270569183,86,483,277,274,11,359,3,NA,166,NA,NA,2,NA,613,583,595,NA,1,NA
2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,492,339,338,0,238.5,1,NA,NA,NA,NA,NA,NA,613,583,595,NA,NA,NA
2011,157,345,0,0,NA,NA,NA,0.03632478632478633,30,478,315,302,327.3,470.5,13,NA,NA,NA,NA,NA,NA,613,583,595,NA,NA,NA
2012,106,310,0,3.5,NA,NA,NA,0.12134502923976603,67,540,243,107,17.20000000000001,524,136,NA,190,NA,NA,2,NA,613,583,595,NA,1,NA
2013,135,347,0,0.038000000000000256,4,5.487959197837285,0,0.8331906881205067,21,262,326,276,0,2.7,50,NA,NA,NA,NA,NA,NA,613,583,595,NA,NA,NA
2014,71,353,0,99,3,31.85266384257855,67,0.5492063492063493,191,495,162,46,0,132.5,116,NA,NA,NA,NA,NA,NA,613,583,595,NA,NA,NA
2015,63,354,4.8,31.00000000000002,2,48.999962541432005,0,0.19078947368421054,20,227,334,276,0,28,58,NA,NA,NA,NA,NA,NA,613,583,595,NA,NA,NA
2016,32,356,10.05,38.77,2,32.00502279793987,12,0.05521472392638037,159,476,197,146,4.8,188.5,51,NA,164,NA,NA,7,NA,613,583,595,NA,3,NA
2017,20,359,5.4,27.200000000000017,NA,NA,NA,0.045910175245435364,58,531,301,279,303.6,512,22,NA,NA,NA,NA,NA,NA,613,583,595,NA,NA,NA
2018,125,360,10,156.20000000000005,6,127.9601128507619,4,0.09163346613545817,50,387,310,297,39.00000000000001,302,13,NA,NA,NA,NA,NA,NA,613,583,595,NA,NA,NA
2019,NA,360,NA,NA,1,37.98900249525634,5,NA,10,535,350,231,151,503,119,NA,NA,NA,NA,NA,NA,613,583,595,NA,NA,NA
2020,NA,314,NA,NA,3,243.97330187734235,7,0.18618421052631579,135,283,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,613,583,595,NA,NA,NA
