0.001,5,3,0.75,0.10192508140271792
0.003,5,3,0.75,0.10991660849333545
0.005,5,3,0.75,NA
0.001,5,5,0.75,0.12119300175882207
0.003,5,5,0.75,0.12285726852723382
0.005,5,5,0.75,0.12429182947702636
0.001,5,10,0.75,0.1598732309841454
0.003,5,10,0.75,0.17614928157334947
0.005,5,10,0.75,0.17376841591570694
0.001,5,3,0.8,0.09590436488608461
0.003,5,3,0.8,0.10912778306738617
0.005,5,3,0.8,NA
0.001,5,5,0.8,0.10519136216817854
0.003,5,5,0.8,0.1141435094379137
0.005,5,5,0.8,0.10700393769230311
0.001,5,10,0.8,0.1571558546340362
0.003,5,10,0.8,0.16898480653882744
0.005,5,10,0.8,0.1683560318923407
