shrinkage,interaction.depth,n.minobsinnode,bag.fraction,dev_explained
0.001,2,5,0.75,0.5706990312835882
0.005,2,5,0.75,0.5763090739341473
0.001,3,5,0.75,0.5829979587435546
0.005,3,5,0.75,0.5835870543792805
0.001,4,5,0.75,0.5872651120441786
0.005,4,5,0.75,0.590977425395884
0.001,2,10,0.75,0.5807875916515449
0.005,2,10,0.75,0.592917094879287
0.001,3,10,0.75,0.591968694553973
0.005,3,10,0.75,0.5921937342636107
0.001,4,10,0.75,0.5942263791156853
0.005,4,10,0.75,0.5936267750474915
0.001,2,5,0.8,0.5666792155788744
0.005,2,5,0.8,0.5734868763321092
0.001,3,5,0.8,0.5779478787195953
0.005,3,5,0.8,0.5803811762451544
0.001,4,5,0.8,0.5831196999430114
0.005,4,5,0.8,0.586189673087363
0.001,2,10,0.8,0.5806518325499238
0.005,2,10,0.8,0.5899030924050713
0.001,3,10,0.8,0.5904166762108511
0.005,3,10,0.8,0.5909106144205382
0.001,4,10,0.8,0.5938083659685848
0.005,4,10,0.8,0.5939064029846775
