shrinkage,interaction.depth,n.minobsinnode,bag.fraction,dev_explained
0.001,2,5,0.75,0.5028732616649804
0.005,2,5,0.75,0.512154133656254
0.001,3,5,0.75,0.5140293348944157
0.005,3,5,0.75,0.514918600714482
0.001,4,5,0.75,0.5191590273395871
0.005,4,5,0.75,0.5186361681593443
0.001,2,10,0.75,0.504804376426823
0.005,2,10,0.75,0.5112236885267515
0.001,3,10,0.75,0.5142108388077036
0.005,3,10,0.75,0.5152533437141681
0.001,4,10,0.75,0.5163530619481833
0.005,4,10,0.75,0.514742579443308
0.001,2,5,0.8,0.5019976394141088
0.005,2,5,0.8,0.5102990275990457
0.001,3,5,0.8,0.5139858567309569
0.005,3,5,0.8,0.5132847389363595
0.001,4,5,0.8,0.5183773710338098
0.005,4,5,0.8,0.5193930400452605
0.001,2,10,0.8,0.5063783805587977
0.005,2,10,0.8,0.5132484700797937
0.001,3,10,0.8,0.5155008586825447
0.005,3,10,0.8,0.5151050006242611
0.001,4,10,0.8,0.5181068654139888
0.005,4,10,0.8,0.5167036365066553
