shrinkage,interaction.depth,n.minobsinnode,bag.fraction,dev_explained
0.005,2,5,0.75,0.5495861402404709
0.01,2,5,0.75,0.5561525711833293
0.005,3,5,0.75,0.558319086797462
0.01,3,5,0.75,0.5622364625850574
0.005,4,5,0.75,0.5618797529014147
0.01,4,5,0.75,0.5624182974361196
0.005,2,10,0.75,0.5407866433438635
0.01,2,10,0.75,0.541090540235573
0.005,3,10,0.75,0.5495372642237394
0.01,3,10,0.75,0.550942499510163
0.005,4,10,0.75,0.5549505011916124
0.01,4,10,0.75,0.5541583726495493
0.005,2,5,0.8,0.5521098540349858
0.01,2,5,0.8,0.5502648801951513
0.005,3,5,0.8,0.5571364793145831
0.01,3,5,0.8,0.5603256137577979
0.005,4,5,0.8,0.5618392835902587
0.01,4,5,0.8,0.5635233245237425
0.005,2,10,0.8,0.5437851375340257
0.01,2,10,0.8,0.5404651011788495
0.005,3,10,0.8,0.553466111921567
0.01,3,10,0.8,0.5466584569954251
0.005,4,10,0.8,0.554612280556762
0.01,4,10,0.8,0.5546090909236069
