ID,x,y,ward
10250800,36.32049645,-117.5239547,2
10251300,35.848577,-116.2300238,2
10253080,34.55000359,-115.1077524,2
10253540,33.62502237,-115.3230362,5
10254050,33.44697395,-115.8433289,6
10254670,33.10444444,-115.5441667,10
10254730,33.19892768,-115.5969343,10
10254970,32.6658925,-115.5030501,10
10255700,33.11865416,-116.4352927,6
10255805,33.36503449,-116.41668,6
10256500,33.8705722,-116.681127,6
10257548,33.89890453,-116.6211256,4
10257550,33.8989045,-116.6211256,4
10257710,33.8391845,-116.6133486,6
10257720,33.8441843,-116.6052929,6
10257800,33.96473451,-116.4438997,5
10259100,33.749466,-116.4227903,4
10259300,33.7372434,-116.236118,10
10259540,33.52474915,-116.0775023,10
10259920,33.52780386,-115.9738878,6
10260500,34.3411142,-117.228376,3
10260550,34.28500486,-117.3719912,2
10260650,34.2483395,-117.2689321,3
10260700,34.2702832,-117.292822,3
10260820,34.3041708,-117.3192118,3
10260950,34.33889196,-117.2578213,3
10261000,34.3408364,-117.2408764,3
10261100,34.34583624,-117.2380986,3
10261500,34.57304916,-117.3206018,3
10261800,34.74998627,-117.3156029,3
10262000,34.83581727,-117.1917113,3
10262500,34.90692668,-117.022818,3
10263000,35.03720565,-116.3841887,3
10264560,34.77553598,-118.5692525,2
10264590,34.88553147,-118.437305,2
10264605,35.0124708,-118.3453587,2
10264675,34.96830851,-117.8922893,2
10264740,35.1169117,-118.2022987,2
10264770,35.31384962,-118.0447942,2
10264870,35.9591129,-117.9131302,2
10264878,35.84300465,-117.9272957,2
10265150,37.66882166,-118.8176312,4
10265160,37.69021051,-118.8429107,6
10270800,37.17715504,-118.563165,2
10270872,37.213822,-118.6103894,2
10271210,37.34965199,-118.4623352,2
10276000,37.14493125,-118.3153798,2
10277400,37.05298833,-118.2273207,2
10277500,37.0152113,-118.2245425,2
10284800,36.59771177,-118.183701,2
10285700,36.5793779,-118.0192532,2
10286000,36.43882461,-118.0809189,2
10286001,36.4388246,-118.0809189,2
10287070,38.0327009,-119.215709,5
10287289,37.7590977,-119.130701,5
10287290,37.75881993,-119.130701,5
10287400,37.80631867,-119.1090349,5
10287655,37.9643687,-119.2732103,5
10287770,37.93603659,-119.2309854,5
10287900,37.9293704,-119.1704278,5
10289000,38.19186474,-119.2101533,5
10289500,38.17380969,-119.2337656,6
10290000,38.15408779,-119.2593223,6
10290500,38.17214225,-119.3246032,5
10292000,38.28269628,-119.29988,5
10293000,38.3276958,-119.2148759,5
10293050,38.44074975,-119.1059819,5
10296000,38.3796366,-119.4501649,5
10296500,38.51324495,-119.4498872,5
10304500,38.59990726,-119.7760107,5
103087889,38.7108333,-119.6630556,6
10308789,38.7168505,-119.6601726,6
10308794,38.73657257,-119.6451719,6
10310000,38.76962765,-119.833789,5
103366092,38.8485185,-120.0271275,10
10336610,38.9224078,-119.9915706,10
10336626,38.92157444,-120.0612952,5
10336689,39.23824014,-120.0396357,1
10336775,38.90339444,-119.9688917,10
10336790,38.93213,-119.9787926,10
10337500,39.16629577,-120.1443586,1
10338000,39.2962952,-120.2054752,1
10338500,39.3235172,-120.2343654,1
10338700,39.32101739,-120.2079759,1
10339419,39.36851817,-120.1149198,6
10340500,39.37324026,-120.131587,6
10342000,39.50129393,-120.2774263,6
10343000,39.4565717,-120.2871477,6
10344400,39.43574106,-120.084366,5
10344500,39.38685177,-120.0954757,5
10344505,39.38518517,-120.0876977,5
10346000,39.42796385,-120.0340873,5
10354000,39.85546105,-120.0677023,6
10354700,40.17073367,-120.3716042,7
10356500,40.41739494,-120.6718958,6
10358470,40.49656337,-120.5593937,5
10358500,40.48906373,-120.5371707,6
10360230,41.3123957,-120.1252193,5
11010900,32.7228334,-116.7025197,6
11012500,32.591172,-116.525572,4
11014000,32.6375566,-116.8841893,4
11022350,32.82116107,-116.9764165,9
11022480,32.84032675,-117.0258627,10
