objectid,siteno,sitename,longdd,latdd,point_x,point_y,category,agency,cl_kpam9,cl_vei8,cl_kmean8,cl_kmeans7,kmeans7_al,kmed_7,geometry
37,10308200,E FK CARSON RV BLW MARKLEEVILLE CK NR MARKLEEVILLE,-119.7648985,38.7146274,-119.7648985,38.7146274, , ,1,1,1,5,1,1,"c(-119.7648985, 38.7146274)"
38,10310000,"W FK CARSON RV AT WOODFORDS, CA",-119.833789,38.76962765,-119.833789,38.76962765, , ,1,1,1,5,1,1,"c(-119.833789, 38.76962765)"
39,10336780,"TROUT CK NR TAHOE VALLEY, CA",-119.9724036,38.9199077,-119.9724036,38.9199077, , ,2,1,5,5,1,1,"c(-119.9724036, 38.9199077)"
40,11141300,ARROYO GRANDE NR ARROYO GRANDE CA,-120.4996096,35.1860866,-120.4996096,35.1860866, , ,0,0,0,0,0,0,"c(-120.4996096, 35.1860866)"
41,11149900,SAN ANTONIO R NR LOCKWOOD CA,-121.0882491,35.89663404,-121.0882491,35.89663404, , ,0,0,0,0,0,0,"c(-121.0882491, 35.89663404)"
42,11151300,SAN LORENZO C BL BITTERWATER C NR KING CITY CA,-121.066303,36.26802087,-121.066303,36.26802087, , ,3,3,2,4,2,2,"c(-121.066303, 36.26802087)"
43,11152000,ARROYO SECO NR SOLEDAD CA,-121.3227063,36.28052076,-121.3227063,36.28052076, , ,3,3,2,4,2,2,"c(-121.3227063, 36.28052076)"
44,11152540,EL TORO C NR SPRECKELS CA,-121.714947,36.5832937,-121.714947,36.5832937, , ,3,3,2,4,2,2,"c(-121.714947, 36.5832937)"
45,11160000,SOQUEL C A SOQUEL CA,-121.9557933,36.9913389,-121.9557933,36.9913389, , ,3,2,2,4,2,2,"c(-121.9557933, 36.9913389)"
46,11160500,SAN LORENZO R A BIG TREES CA,-122.072464,37.0443931,-122.072464,37.0443931, , ,3,2,2,4,2,2,"c(-122.072464, 37.0443931)"
47,11162500,PESCADERO C NR PESCADERO CA,-122.3288602,37.26077707,-122.3288602,37.26077707, , ,3,2,2,4,2,2,"c(-122.3288602, 37.26077707)"
48,11176400,ARROYO VALLE BL LANG CYN NR LIVERMORE CA,-121.6838389,37.56132196,-121.6838389,37.56132196, , ,0,0,0,0,0,0,"c(-121.6838389, 37.56132196)"
49,11200800,DEER C NR FOUNTAIN SPRINGS CA,-118.8228702,35.94161745,-118.8228702,35.94161745, , ,4,4,5,3,1,1,"c(-118.8228702, 35.94161745)"
50,11206501,MF KAWEAH R NR POTWISHA CAMP(TOTAL FLOW) CA,-118.7917648,36.5132787,-118.7917648,36.5132787, , ,1,1,5,3,1,4,"c(-118.7917648, 36.5132787)"
51,11208001,MARBLE F KAWEAH R (TOTAL FLOW) A POTWISHA CAMP CA,-118.8017652,36.5188344,-118.8017652,36.5188344, , ,1,1,5,5,1,4,"c(-118.8017652, 36.5188344)"
52,11209900,KAWEAH R A THREE RIVERS CA,-118.9034335,36.4438363,-118.9034335,36.4438363, , ,5,1,5,3,1,1,"c(-118.9034335, 36.4438363)"
53,11210100,SF KAWEAH R A THREE RIVERS CA,-118.9142668,36.4166144,-118.9142668,36.4166144, , ,4,1,5,3,1,5,"c(-118.9142668, 36.4166144)"
54,11213500,KINGS R AB NF NR TRIMMER CA,-119.124282,36.8632806,-119.124282,36.8632806, , ,1,1,1,5,1,1,"c(-119.124282, 36.8632806)"
55,11217000,DINKEY C A DINKEY MDW NR SHAVER LK CA,-119.1487295,37.04716886,-119.1487295,37.04716886, , ,0,0,0,0,0,0,"c(-119.1487295, 37.04716886)"
56,11224500,LOS GATOS C AB NUNEZ CYN NR COALINGA CA,-120.4707116,36.21467719,-120.4707116,36.21467719, , ,6,5,6,1,3,5,"c(-120.4707116, 36.21467719)"
